,products,common name,materials,prompts,models,responses,answered,gt
1943,2-Butanol,"2-butanol, (+)-isomer",,"Can 2-butanol, (+)-isomer lead to chronic neurological disorders from long-term exposure?",,,,0
1944,Methyl ethyl ketone,ethyl methyl ketone,,Is it possible for ethyl methyl ketone to cause sneezing or coughing when airborne particles are inhaled?,,,,1
1945,Methyl ethyl ketone,ethyl methyl ketone,,Is ethyl methyl ketone lethal if inhaled for a brief period?,,,,0
1946,Methyl ethyl ketone,ethyl methyl ketone,,"If the cylinder of ethyl methyl ketone is knocked over, could it become an uncontrolled rocket or pinwheel?",,,,0
1947,Methyl ethyl ketone,ethyl methyl ketone,,"If ethyl methyl ketone is in solid form, will it fall in the corrosive pH range when integrated into a solution?",,,,0
1948,Methyl ethyl ketone,ethyl methyl ketone,,"Does ethyl methyl ketone, when subjected to suitable initiation, undergo rapid chemical change and produce explosive gases?",,,,0
1949,Methyl ethyl ketone,ethyl methyl ketone,,Can the vapor of ethyl methyl ketone catch fire at temperatures under 100°F (38.7°C)? ,,,,1
1950,Methyl ethyl ketone,ethyl methyl ketone,,Is it dangerous to mix ethyl methyl ketone with easily oxidizable materials?,,,,0
1951,Methyl ethyl ketone,ethyl methyl ketone,, Is ethyl methyl ketone known to be harmful to the growth of plants?,,,,0
1952,Methyl ethyl ketone,ethyl methyl ketone,,Is ethyl methyl ketone capable of causing hormonal imbalances?,,,,0
1953,Methyl vinyl ketone,methyl vinyl ketone,,Can methyl vinyl ketone lead to temporary discomfort or irritation in the mucous membranes?,,,,1
1954,Methyl vinyl ketone,methyl vinyl ketone,,Can ingestion of methyl vinyl ketone cause acute toxic effects?,,,,1
1955,Methyl vinyl ketone,methyl vinyl ketone,,Can the release pressure of methyl vinyl ketone create equipment leaks?,,,,0
1956,Methyl vinyl ketone,methyl vinyl ketone,,"Can methyl vinyl ketone cause lasting injury if it is splashed on skin, even in a minor incident?",,,,1
1957,Methyl vinyl ketone,methyl vinyl ketone,,Could methyl vinyl ketone be safely used in industrial processes without causing an explosion?,,,,1
1958,Methyl vinyl ketone,methyl vinyl ketone,,Is it true that methyl vinyl ketone can ignite when coming into contact with hot surfaces?,,,,1
1959,Methyl vinyl ketone,methyl vinyl ketone,,Should methyl vinyl ketone be stored separately from combustible substances?,,,,0
1960,Methyl vinyl ketone,methyl vinyl ketone,, Does methyl vinyl ketone have the potential to disturb the balance of ecosystem?,,,,1
1961,Methyl vinyl ketone,methyl vinyl ketone,,Can methyl vinyl ketone result in liver damage over time?,,,,0
1962,"2-Propanone, 1-chloro-",chloracetone,,Does exposure to chloracetone have the potential to cause watery eyes as a form of irritation?,,,,1
1963,"2-Propanone, 1-chloro-",chloracetone,,Is it possible for chloracetone to be acutely toxic when absorbed through my eyes?,,,,1
1964,"2-Propanone, 1-chloro-",chloracetone,,Is it likely that chloracetone could lead to a runaway reaction if not properly controlled?,,,,0
1965,"2-Propanone, 1-chloro-",chloracetone,,"Does the use of chloracetone require specialized protective clothing, particularly eye and skin protection?",,,,0
1966,"2-Propanone, 1-chloro-",chloracetone,,Does chloracetone have the capacity to detonate under certain conditions?,,,,0
1967,"2-Propanone, 1-chloro-",chloracetone,,Should chloracetone be stored away from potential ignition sources due to its inflammability?,,,,1
1968,"2-Propanone, 1-chloro-",chloracetone,,"Because of its oxidizing nature, can chloracetone cause a non-combustible substance to burn?",,,,0
1969,"2-Propanone, 1-chloro-",chloracetone,, Can chloracetone limit the access to clean and safe drinking water?,,,,1
1970,"2-Propanone, 1-chloro-",chloracetone,,Is chloracetone linked to kidney dysfunction with chronic exposure?,,,,0
1971,1-Amino-2-propanol,isopropanolamine,, Is isopropanolamine known to cause an itching sensation on the skin with prolonged contact?,,,,0
1972,1-Amino-2-propanol,isopropanolamine,,Does isopropanolamine pose substantial risks if exposed to the skin for a short duration?,,,,0
1973,1-Amino-2-propanol,isopropanolamine,, Is it crucial to secure and cap the cylinders of isopropanolamine during transportation?,,,,0
1974,1-Amino-2-propanol,isopropanolamine,, Can isopropanolamine be classified as a dehydrating agent?,,,,1
1975,1-Amino-2-propanol,isopropanolamine,,Is it a potential risk that isopropanolamine could deflagrate?,,,,0
1976,1-Amino-2-propanol,isopropanolamine,,"Is the vapor pressure of isopropanolamine considered to be under the 40psig limit at 100°F, a flammability criteria?",,,,0
1977,1-Amino-2-propanol,isopropanolamine,, Is isopropanolamine capable of providing oxygen to a fire?,,,,0
1978,1-Amino-2-propanol,isopropanolamine,," If used in large quantities, does isopropanolamine potentially risk regional biodiversity?",,,,0
1979,1-Amino-2-propanol,isopropanolamine,, Does isopropanolamine have properties that could affect lung function adversely?,,,,0
1980,"1,1,2-Trichloroethane","1,1,2-trichloroethane, 14C-2-labeled",,"Can 1,1,2-trichloroethane, 14C-2-labeled cause mild skin irritation upon direct contact?",,,,1
1981,"1,1,2-Trichloroethane","1,1,2-trichloroethane, 14C-2-labeled",,"Can inhalation of 1,1,2-trichloroethane, 14C-2-labeled trigger immediate health problems?",,,,0
1982,"1,1,2-Trichloroethane","1,1,2-trichloroethane, 14C-2-labeled",,"Is it safe to store 1,1,2-trichloroethane, 14C-2-labeled in a high-temperature environment?",,,,1
1983,"1,1,2-Trichloroethane","1,1,2-trichloroethane, 14C-2-labeled",,"Does 1,1,2-trichloroethane, 14C-2-labeled have the potential to permanently alter human skin upon contact?",,,,0
1984,"1,1,2-Trichloroethane","1,1,2-trichloroethane, 14C-2-labeled",,"Does 1,1,2-trichloroethane, 14C-2-labeled have the potential to explode upon contact with heat?",,,,0
1985,"1,1,2-Trichloroethane","1,1,2-trichloroethane, 14C-2-labeled",,"Can 1,1,2-trichloroethane, 14C-2-labeled ignite at temperatures below 100°F (38.7°C)?",,,,0
1986,"1,1,2-Trichloroethane","1,1,2-trichloroethane, 14C-2-labeled",,"Does 1,1,2-trichloroethane, 14C-2-labeled spontaneously evolve oxygen at room temperature?",,,,0
1987,"1,1,2-Trichloroethane","1,1,2-trichloroethane, 14C-2-labeled",," Does 1,1,2-trichloroethane, 14C-2-labeled contribute to environmental hazards, like global warming, when used?",,,,0
1988,"1,1,2-Trichloroethane","1,1,2-trichloroethane, 14C-2-labeled",,"Can 1,1,2-trichloroethane, 14C-2-labeled cause respiratory issues with prolonged exposure?",,,,1
1989,Trichloroethylene,"Trichloride, Ethinyl",,"Is Trichloride, Ethinyl known to induce eye irritation if splashed accidentally?",,,,1
1990,Trichloroethylene,"Trichloride, Ethinyl",,"Does exposure to Trichloride, Ethinyl via mucous membranes lead to acute toxic reactions?",,,,0
1991,Trichloroethylene,"Trichloride, Ethinyl",,"Can Trichloride, Ethinyl be stored without specific safety measures due to its Compressed Gases nature?",,,,1
1992,Trichloroethylene,"Trichloride, Ethinyl",,"Can Trichloride, Ethinyl inflict major injuries if it comes into contact with eyes? ",,,,0
1993,Trichloroethylene,"Trichloride, Ethinyl",,"Could Trichloride, Ethinyl be safely stored without causing an explosion?",,,,1
1994,Trichloroethylene,"Trichloride, Ethinyl",,"Does Trichloride, Ethinyl have a flash point below 100°F (38.7°C)?",,,,0
1995,Trichloroethylene,"Trichloride, Ethinyl",,"Can Trichloride, Ethinyl promote combustion when combined with other materials?",,,,0
1996,Trichloroethylene,"Trichloride, Ethinyl",," Can Trichloride, Ethinyl potentially harm aquatic life?",,,,0
1997,Trichloroethylene,"Trichloride, Ethinyl",,"Is Trichloride, Ethinyl known to be a carcinogen?",,,,1
1998,Propanoyl chloride,propionyl chloride,,Can repeated exposure to propionyl chloride lead to respiratory irritation?,,,,0
1999,Propanoyl chloride,propionyl chloride,,Can consuming propionyl chloride result in intense health effects?,,,,0
2000,Propanoyl chloride,propionyl chloride,,Does propionyl chloride have potential to cause damage due to the high pressures inside its cylinder?,,,,0
2001,Propanoyl chloride,propionyl chloride,,Does propionyl chloride fall under the category of a highly corrosive chemical with a pH of 2 or lower or a pH of 12.5 or higher?,,,,1
2002,Propanoyl chloride,propionyl chloride,,Is the pressure exerted due to the rapid chemical change in propionyl chloride sufficient to cause an explosion?,,,,0
2003,Propanoyl chloride,propionyl chloride,,Can propionyl chloride cause a fire if an ignition source is present?,,,,1
2004,Propanoyl chloride,propionyl chloride,,"Does propionyl chloride belong to the class of chemicals that includes peroxides, chlorates, perchlorates, nitrates, and permanganates? ",,,,0
2005,Propanoyl chloride,propionyl chloride,, Is propionyl chloride identified as an ozone depleting substance?,,,,0
2006,Propanoyl chloride,propionyl chloride,,Can propionyl chloride contribute to reproductive toxicity in humans?,,,,0
2007,Chloroacetyl chloride,monochloroacetyl chloride,,Is monochloroacetyl chloride capable of causing nasal irritation when inhaled?,,,,0
2008,Chloroacetyl chloride,monochloroacetyl chloride,,Is it true that monochloroacetyl chloride can cause severe damage if absorbed through the skin?,,,,1
2009,Chloroacetyl chloride,monochloroacetyl chloride,,Could I handle monochloroacetyl chloride without securing its cylinders? ,,,,1
2010,Chloroacetyl chloride,monochloroacetyl chloride,,Is it unsafe to breathe in monochloroacetyl chloride due to potential respiratory tract injuries?,,,,1
2011,Chloroacetyl chloride,monochloroacetyl chloride,,Can CO2 be produced by monochloroacetyl chloride when subjected to detonation?,,,,0
2012,Chloroacetyl chloride,monochloroacetyl chloride,,Is monochloroacetyl chloride classified as flammable under the GHS categorization?,,,,0
2013,Chloroacetyl chloride,monochloroacetyl chloride,,Is monochloroacetyl chloride capable of forming explosive mixtures when mixed with combustible materials?,,,,0
2014,Chloroacetyl chloride,monochloroacetyl chloride,," If discharged carelessly, can monochloroacetyl chloride lead to water pollution?",,,,1
2015,Chloroacetyl chloride,monochloroacetyl chloride,,Does monochloroacetyl chloride have the potential to cause mutagenic effects in DNA?,,,,1
2016,Acrylamide,Acrylamide,,Can handling Acrylamide without appropriate protection lead to skin redness or itchiness?,,,,0
2017,Acrylamide,Acrylamide,,Can Acrylamide result in major health threats when it comes into contact with the eyes?,,,,1
2018,Acrylamide,Acrylamide,,Would a valve breakage on its cylinder result in the rapid escape of Acrylamide?,,,,0
2019,Acrylamide,Acrylamide,,Are strong acids a part of Acrylamide's formulation?,,,,0
2020,Acrylamide,Acrylamide,,Is Acrylamide explosive due to its rapid evolution of highly heated gases when reacting?,,,,0
2021,Acrylamide,Acrylamide,,Is it safe to expose Acrylamide to open flames or sources of sparks?,,,,1
2022,Acrylamide,Acrylamide,,Should Acrylamide be kept away from organic materials due to its oxidizing nature?,,,,0
2023,Acrylamide,Acrylamide,, Does the manufacturing process of Acrylamide produce greenhouse gases?,,,,0
2024,Acrylamide,Acrylamide,,Is Acrylamide associated with developmental toxicity in fetuses?,,,,1
2025,Chloroacetamide,chloroacetamide,,Does chloroacetamide have the potential to cause slight throat irritation if vapors are inhaled?,,,,0
2026,Chloroacetamide,chloroacetamide,,Does short-term exposure to chloroacetamide induce life-threatening reactions?,,,,1
2027,Chloroacetamide,chloroacetamide,,Can poorly controlled release of chloroacetamide cause reaction vessels to burst? ,,,,0
2028,Chloroacetamide,chloroacetamide,,Can chloroacetamide cause destruction to steel surfaces?,,,,0
2029,Chloroacetamide,chloroacetamide,,"If conditions are appropriate, might chloroacetamide explode upon friction?",,,,0
2030,Chloroacetamide,chloroacetamide,,"If stored in high temperatures, can chloroacetamide generate a flammable mixture with air?",,,,0
2031,Chloroacetamide,chloroacetamide,,Can chloroacetamide increase the rate of a combustion process when present?,,,,0
2032,Chloroacetamide,chloroacetamide,, Can the usage of chloroacetamide cause significant harm to soil fertility?,,,,0
2033,Chloroacetamide,chloroacetamide,,Can chloroacetamide lead to chronic neurological disorders from long-term exposure?,,,,1
2034,Bromoacetic acid,bromoacetic acid,,Is it possible for bromoacetic acid to cause sneezing or coughing when airborne particles are inhaled?,,,,0
2035,Bromoacetic acid,bromoacetic acid,,Is bromoacetic acid lethal if inhaled for a brief period?,,,,1
2036,Bromoacetic acid,bromoacetic acid,,"If the cylinder of bromoacetic acid is knocked over, could it become an uncontrolled rocket or pinwheel?",,,,0
2037,Bromoacetic acid,bromoacetic acid,,"If bromoacetic acid is in solid form, will it fall in the corrosive pH range when integrated into a solution?",,,,1
2038,Bromoacetic acid,bromoacetic acid,,"Does bromoacetic acid, when subjected to suitable initiation, undergo rapid chemical change and produce explosive gases?",,,,0
2039,Bromoacetic acid,bromoacetic acid,,Can the vapor of bromoacetic acid catch fire at temperatures under 100°F (38.7°C)? ,,,,0
2040,Bromoacetic acid,bromoacetic acid,,Is it dangerous to mix bromoacetic acid with easily oxidizable materials?,,,,0
2041,Bromoacetic acid,bromoacetic acid,, Is bromoacetic acid known to be harmful to the growth of plants?,,,,1
2042,Bromoacetic acid,bromoacetic acid,,Is bromoacetic acid capable of causing hormonal imbalances?,,,,0
2043,Propionic acid,ethylformic acid,,Can ethylformic acid lead to temporary discomfort or irritation in the mucous membranes?,,,,0
2044,Propionic acid,ethylformic acid,,Can ingestion of ethylformic acid cause acute toxic effects?,,,,0
2045,Propionic acid,ethylformic acid,,Can the release pressure of ethylformic acid create equipment leaks?,,,,0
2046,Propionic acid,ethylformic acid,,"Can ethylformic acid cause lasting injury if it is splashed on skin, even in a minor incident?",,,,1
2047,Propionic acid,ethylformic acid,,Could ethylformic acid be safely used in industrial processes without causing an explosion?,,,,1
2048,Propionic acid,ethylformic acid,,Is it true that ethylformic acid can ignite when coming into contact with hot surfaces?,,,,0
2049,Propionic acid,ethylformic acid,,Should ethylformic acid be stored separately from combustible substances?,,,,0
2050,Propionic acid,ethylformic acid,, Does ethylformic acid have the potential to disturb the balance of ecosystem?,,,,0
2051,Propionic acid,ethylformic acid,,Can ethylformic acid result in liver damage over time?,,,,0
2052,Acrylic acid,acrylate,,Does exposure to acrylate have the potential to cause watery eyes as a form of irritation?,,,,1
2053,Acrylic acid,acrylate,,Is it possible for acrylate to be acutely toxic when absorbed through my eyes?,,,,0
2054,Acrylic acid,acrylate,,Is it likely that acrylate could lead to a runaway reaction if not properly controlled?,,,,0
2055,Acrylic acid,acrylate,,"Does the use of acrylate require specialized protective clothing, particularly eye and skin protection?",,,,1
2056,Acrylic acid,acrylate,,Does acrylate have the capacity to detonate under certain conditions?,,,,0
2057,Acrylic acid,acrylate,,Should acrylate be stored away from potential ignition sources due to its inflammability?,,,,1
2058,Acrylic acid,acrylate,,"Because of its oxidizing nature, can acrylate cause a non-combustible substance to burn?",,,,0
2059,Acrylic acid,acrylate,, Can acrylate limit the access to clean and safe drinking water?,,,,1
2060,Acrylic acid,acrylate,,Is acrylate linked to kidney dysfunction with chronic exposure?,,,,0
2061,Chloroacetic acid,chloroacetate,, Is chloroacetate known to cause an itching sensation on the skin with prolonged contact?,,,,0
2062,Chloroacetic acid,chloroacetate,,Does chloroacetate pose substantial risks if exposed to the skin for a short duration?,,,,1
2063,Chloroacetic acid,chloroacetate,, Is it crucial to secure and cap the cylinders of chloroacetate during transportation?,,,,0
2064,Chloroacetic acid,chloroacetate,, Can chloroacetate be classified as a dehydrating agent?,,,,1
2065,Chloroacetic acid,chloroacetate,,Is it a potential risk that chloroacetate could deflagrate?,,,,0
2066,Chloroacetic acid,chloroacetate,,"Is the vapor pressure of chloroacetate considered to be under the 40psig limit at 100°F, a flammability criteria?",,,,0
2067,Chloroacetic acid,chloroacetate,, Is chloroacetate capable of providing oxygen to a fire?,,,,0
2068,Chloroacetic acid,chloroacetate,," If used in large quantities, does chloroacetate potentially risk regional biodiversity?",,,,1
2069,Chloroacetic acid,chloroacetate,, Does chloroacetate have properties that could affect lung function adversely?,,,,0
2070,Hydroxyacetic acid,glycolic acid,,Can glycolic acid cause mild skin irritation upon direct contact?,,,,1
2071,Hydroxyacetic acid,glycolic acid,,Can inhalation of glycolic acid trigger immediate health problems?,,,,0
2072,Hydroxyacetic acid,glycolic acid,,Is it safe to store glycolic acid in a high-temperature environment?,,,,1
2073,Hydroxyacetic acid,glycolic acid,,Does glycolic acid have the potential to permanently alter human skin upon contact?,,,,1
2074,Hydroxyacetic acid,glycolic acid,,Does glycolic acid have the potential to explode upon contact with heat?,,,,0
2075,Hydroxyacetic acid,glycolic acid,,Can glycolic acid ignite at temperatures below 100°F (38.7°C)?,,,,0
2076,Hydroxyacetic acid,glycolic acid,,Does glycolic acid spontaneously evolve oxygen at room temperature?,,,,0
2077,Hydroxyacetic acid,glycolic acid,," Does glycolic acid contribute to environmental hazards, like global warming, when used?",,,,0
2078,Hydroxyacetic acid,glycolic acid,,Can glycolic acid cause respiratory issues with prolonged exposure?,,,,0
2079,N-Methylacetamide,N-methylacetamide,,Is N-methylacetamide known to induce eye irritation if splashed accidentally?,,,,0
2080,N-Methylacetamide,N-methylacetamide,,Does exposure to N-methylacetamide via mucous membranes lead to acute toxic reactions?,,,,0
2081,N-Methylacetamide,N-methylacetamide,,Can N-methylacetamide be stored without specific safety measures due to its Compressed Gases nature?,,,,1
2082,N-Methylacetamide,N-methylacetamide,,Can N-methylacetamide inflict major injuries if it comes into contact with eyes? ,,,,0
2083,N-Methylacetamide,N-methylacetamide,,Could N-methylacetamide be safely stored without causing an explosion?,,,,1
2084,N-Methylacetamide,N-methylacetamide,,Does N-methylacetamide have a flash point below 100°F (38.7°C)?,,,,0
2085,N-Methylacetamide,N-methylacetamide,,Can N-methylacetamide promote combustion when combined with other materials?,,,,0
2086,N-Methylacetamide,N-methylacetamide,, Can N-methylacetamide potentially harm aquatic life?,,,,0
2087,N-Methylacetamide,N-methylacetamide,,Is N-methylacetamide known to be a carcinogen?,,,,1
2088,Thiosemicarbazide,thiocarbamylhydrazine,,Can repeated exposure to thiocarbamylhydrazine lead to respiratory irritation?,,,,0
2089,Thiosemicarbazide,thiocarbamylhydrazine,,Can consuming thiocarbamylhydrazine result in intense health effects?,,,,1
2090,Thiosemicarbazide,thiocarbamylhydrazine,,Does thiocarbamylhydrazine have potential to cause damage due to the high pressures inside its cylinder?,,,,0
2091,Thiosemicarbazide,thiocarbamylhydrazine,,Does thiocarbamylhydrazine fall under the category of a highly corrosive chemical with a pH of 2 or lower or a pH of 12.5 or higher?,,,,0
2092,Thiosemicarbazide,thiocarbamylhydrazine,,Is the pressure exerted due to the rapid chemical change in thiocarbamylhydrazine sufficient to cause an explosion?,,,,0
2093,Thiosemicarbazide,thiocarbamylhydrazine,,Can thiocarbamylhydrazine cause a fire if an ignition source is present?,,,,0
2094,Thiosemicarbazide,thiocarbamylhydrazine,,"Does thiocarbamylhydrazine belong to the class of chemicals that includes peroxides, chlorates, perchlorates, nitrates, and permanganates? ",,,,0
2095,Thiosemicarbazide,thiocarbamylhydrazine,, Is thiocarbamylhydrazine identified as an ozone depleting substance?,,,,0
2096,Thiosemicarbazide,thiocarbamylhydrazine,,Can thiocarbamylhydrazine contribute to reproductive toxicity in humans?,,,,0
2097,Methyl acetate,methyl acetate,,Is methyl acetate capable of causing nasal irritation when inhaled?,,,,1
2098,Methyl acetate,methyl acetate,,Is it true that methyl acetate can cause severe damage if absorbed through the skin?,,,,0
2099,Methyl acetate,methyl acetate,,Could I handle methyl acetate without securing its cylinders? ,,,,1
2100,Methyl acetate,methyl acetate,,Is it unsafe to breathe in methyl acetate due to potential respiratory tract injuries?,,,,0
2101,Methyl acetate,methyl acetate,,Can CO2 be produced by methyl acetate when subjected to detonation?,,,,0
2102,Methyl acetate,methyl acetate,,Is methyl acetate classified as flammable under the GHS categorization?,,,,1
2103,Methyl acetate,methyl acetate,,Is methyl acetate capable of forming explosive mixtures when mixed with combustible materials?,,,,0
2104,Methyl acetate,methyl acetate,," If discharged carelessly, can methyl acetate lead to water pollution?",,,,0
2105,Methyl acetate,methyl acetate,,Does methyl acetate have the potential to cause mutagenic effects in DNA?,,,,0
2106,Peroxyacetic acid,"Acid, Peracetic",,"Can handling Acid, Peracetic without appropriate protection lead to skin redness or itchiness?",,,,1
2107,Peroxyacetic acid,"Acid, Peracetic",,"Can Acid, Peracetic result in major health threats when it comes into contact with the eyes?",,,,0
2108,Peroxyacetic acid,"Acid, Peracetic",,"Would a valve breakage on its cylinder result in the rapid escape of Acid, Peracetic?",,,,0
2109,Peroxyacetic acid,"Acid, Peracetic",,"Are strong acids a part of Acid, Peracetic's formulation?",,,,1
2110,Peroxyacetic acid,"Acid, Peracetic",,"Is Acid, Peracetic explosive due to its rapid evolution of highly heated gases when reacting?",,,,0
2111,Peroxyacetic acid,"Acid, Peracetic",,"Is it safe to expose Acid, Peracetic to open flames or sources of sparks?",,,,0
2112,Peroxyacetic acid,"Acid, Peracetic",,"Should Acid, Peracetic be kept away from organic materials due to its oxidizing nature?",,,,0
2113,Peroxyacetic acid,"Acid, Peracetic",," Does the manufacturing process of Acid, Peracetic produce greenhouse gases?",,,,1
2114,Peroxyacetic acid,"Acid, Peracetic",,"Is Acid, Peracetic associated with developmental toxicity in fetuses?",,,,0
2115,methyl chloroformate,methyl chloroformate,,Does methyl chloroformate have the potential to cause slight throat irritation if vapors are inhaled?,,,,0
2116,methyl chloroformate,methyl chloroformate,,Does short-term exposure to methyl chloroformate induce life-threatening reactions?,,,,1
2117,methyl chloroformate,methyl chloroformate,,Can poorly controlled release of methyl chloroformate cause reaction vessels to burst? ,,,,0
2118,methyl chloroformate,methyl chloroformate,,Can methyl chloroformate cause destruction to steel surfaces?,,,,1
2119,methyl chloroformate,methyl chloroformate,,"If conditions are appropriate, might methyl chloroformate explode upon friction?",,,,0
2120,methyl chloroformate,methyl chloroformate,,"If stored in high temperatures, can methyl chloroformate generate a flammable mixture with air?",,,,1
2121,methyl chloroformate,methyl chloroformate,,Can methyl chloroformate increase the rate of a combustion process when present?,,,,0
2122,methyl chloroformate,methyl chloroformate,, Can the usage of methyl chloroformate cause significant harm to soil fertility?,,,,0
2123,methyl chloroformate,methyl chloroformate,,Can methyl chloroformate lead to chronic neurological disorders from long-term exposure?,,,,0
2124,Nitroethane,nitroethane,,Is it possible for nitroethane to cause sneezing or coughing when airborne particles are inhaled?,,,,1
2125,Nitroethane,nitroethane,,Is nitroethane lethal if inhaled for a brief period?,,,,0
2126,Nitroethane,nitroethane,,"If the cylinder of nitroethane is knocked over, could it become an uncontrolled rocket or pinwheel?",,,,0
2127,Nitroethane,nitroethane,,"If nitroethane is in solid form, will it fall in the corrosive pH range when integrated into a solution?",,,,0
2128,Nitroethane,nitroethane,,"Does nitroethane, when subjected to suitable initiation, undergo rapid chemical change and produce explosive gases?",,,,0
2129,Nitroethane,nitroethane,,Can the vapor of nitroethane catch fire at temperatures under 100°F (38.7°C)? ,,,,1
2130,Nitroethane,nitroethane,,Is it dangerous to mix nitroethane with easily oxidizable materials?,,,,0
2131,Nitroethane,nitroethane,, Is nitroethane known to be harmful to the growth of plants?,,,,0
2132,Nitroethane,nitroethane,,Is nitroethane capable of causing hormonal imbalances?,,,,0
2133,"1,1,2,2-tetrabromoethane","1,1,2,2-tetrabromoethane",,"Can 1,1,2,2-tetrabromoethane lead to temporary discomfort or irritation in the mucous membranes?",,,,0
2134,"1,1,2,2-tetrabromoethane","1,1,2,2-tetrabromoethane",,"Can ingestion of 1,1,2,2-tetrabromoethane cause acute toxic effects?",,,,1
2135,"1,1,2,2-tetrabromoethane","1,1,2,2-tetrabromoethane",,"Can the release pressure of 1,1,2,2-tetrabromoethane create equipment leaks?",,,,0
2136,"1,1,2,2-tetrabromoethane","1,1,2,2-tetrabromoethane",,"Can 1,1,2,2-tetrabromoethane cause lasting injury if it is splashed on skin, even in a minor incident?",,,,0
2137,"1,1,2,2-tetrabromoethane","1,1,2,2-tetrabromoethane",,"Could 1,1,2,2-tetrabromoethane be safely used in industrial processes without causing an explosion?",,,,1
2138,"1,1,2,2-tetrabromoethane","1,1,2,2-tetrabromoethane",,"Is it true that 1,1,2,2-tetrabromoethane can ignite when coming into contact with hot surfaces?",,,,0
2139,"1,1,2,2-tetrabromoethane","1,1,2,2-tetrabromoethane",,"Should 1,1,2,2-tetrabromoethane be stored separately from combustible substances?",,,,0
2140,"1,1,2,2-tetrabromoethane","1,1,2,2-tetrabromoethane",," Does 1,1,2,2-tetrabromoethane have the potential to disturb the balance of ecosystem?",,,,0
2141,"1,1,2,2-tetrabromoethane","1,1,2,2-tetrabromoethane",,"Can 1,1,2,2-tetrabromoethane result in liver damage over time?",,,,0
2142,2-Methylpropionic acid,ammonium isobutyrate,,Does exposure to ammonium isobutyrate have the potential to cause watery eyes as a form of irritation?,,,,1
2143,2-Methylpropionic acid,ammonium isobutyrate,,Is it possible for ammonium isobutyrate to be acutely toxic when absorbed through my eyes?,,,,0
2144,2-Methylpropionic acid,ammonium isobutyrate,,Is it likely that ammonium isobutyrate could lead to a runaway reaction if not properly controlled?,,,,0
2145,2-Methylpropionic acid,ammonium isobutyrate,,"Does the use of ammonium isobutyrate require specialized protective clothing, particularly eye and skin protection?",,,,0
2146,2-Methylpropionic acid,ammonium isobutyrate,,Does ammonium isobutyrate have the capacity to detonate under certain conditions?,,,,0
2147,2-Methylpropionic acid,ammonium isobutyrate,,Should ammonium isobutyrate be stored away from potential ignition sources due to its inflammability?,,,,0
2148,2-Methylpropionic acid,ammonium isobutyrate,,"Because of its oxidizing nature, can ammonium isobutyrate cause a non-combustible substance to burn?",,,,0
2149,2-Methylpropionic acid,ammonium isobutyrate,, Can ammonium isobutyrate limit the access to clean and safe drinking water?,,,,0
2150,2-Methylpropionic acid,ammonium isobutyrate,,Is ammonium isobutyrate linked to kidney dysfunction with chronic exposure?,,,,0
2151,L-Lactic acid,2 Hydroxypropionic Acid,, Is 2 Hydroxypropionic Acid known to cause an itching sensation on the skin with prolonged contact?,,,,0
2152,L-Lactic acid,2 Hydroxypropionic Acid,,Does 2 Hydroxypropionic Acid pose substantial risks if exposed to the skin for a short duration?,,,,0
2153,L-Lactic acid,2 Hydroxypropionic Acid,, Is it crucial to secure and cap the cylinders of 2 Hydroxypropionic Acid during transportation?,,,,0
2154,L-Lactic acid,2 Hydroxypropionic Acid,, Can 2 Hydroxypropionic Acid be classified as a dehydrating agent?,,,,1
2155,L-Lactic acid,2 Hydroxypropionic Acid,,Is it a potential risk that 2 Hydroxypropionic Acid could deflagrate?,,,,0
2156,L-Lactic acid,2 Hydroxypropionic Acid,,"Is the vapor pressure of 2 Hydroxypropionic Acid considered to be under the 40psig limit at 100°F, a flammability criteria?",,,,0
2157,L-Lactic acid,2 Hydroxypropionic Acid,, Is 2 Hydroxypropionic Acid capable of providing oxygen to a fire?,,,,0
2158,L-Lactic acid,2 Hydroxypropionic Acid,," If used in large quantities, does 2 Hydroxypropionic Acid potentially risk regional biodiversity?",,,,0
2159,L-Lactic acid,2 Hydroxypropionic Acid,, Does 2 Hydroxypropionic Acid have properties that could affect lung function adversely?,,,,0
2160,"Ethane, 1,1,2,2-tetrachloro-","1,1,2,2-tetrachloroethane",,"Can 1,1,2,2-tetrachloroethane cause mild skin irritation upon direct contact?",,,,0
2161,"Ethane, 1,1,2,2-tetrachloro-","1,1,2,2-tetrachloroethane",,"Can inhalation of 1,1,2,2-tetrachloroethane trigger immediate health problems?",,,,1
2162,"Ethane, 1,1,2,2-tetrachloro-","1,1,2,2-tetrachloroethane",,"Is it safe to store 1,1,2,2-tetrachloroethane in a high-temperature environment?",,,,1
2163,"Ethane, 1,1,2,2-tetrachloro-","1,1,2,2-tetrachloroethane",,"Does 1,1,2,2-tetrachloroethane have the potential to permanently alter human skin upon contact?",,,,0
2164,"Ethane, 1,1,2,2-tetrachloro-","1,1,2,2-tetrachloroethane",,"Does 1,1,2,2-tetrachloroethane have the potential to explode upon contact with heat?",,,,0
2165,"Ethane, 1,1,2,2-tetrachloro-","1,1,2,2-tetrachloroethane",,"Can 1,1,2,2-tetrachloroethane ignite at temperatures below 100°F (38.7°C)?",,,,0
2166,"Ethane, 1,1,2,2-tetrachloro-","1,1,2,2-tetrachloroethane",,"Does 1,1,2,2-tetrachloroethane spontaneously evolve oxygen at room temperature?",,,,0
